Vendor ID,Total No. of Orders,No. of Orders per Vendor,Avg. No. of Orders per Vendor,No. of unique Vendors,Avg. order GMV per vendor
DE_Berlin_0045,231698,35,1370.9940828402366,169,26.35
DE_Bielefeld_0001,231698,999,1370.9940828402366,169,26.483683683683683
DE_Bielefeld_0002,231698,2670,1370.9940828402366,169,28.964325842696628
DE_Bochum_0001,231698,413,1370.9940828402366,169,25.561138014527845
DE_Bochum_0002,231698,498,1370.9940828402366,169,25.283132530120483
DE_Brandenburg_0001,231698,1015,1370.9940828402366,169,27.58128078817734
DE_Bremen_0001,231698,221,1370.9940828402366,169,28.078280542986427
DE_Bremen_0005,231698,244,1370.9940828402366,169,28.829303278688528
DE_Bremerhaven_0001,231698,1055,1370.9940828402366,169,25.194312796208532
DE_Buehl_0001,231698,177,1370.9940828402366,169,29.262994350282487
DE_Cologne_0001,231698,678,1370.9940828402366,169,29.605265486725663
DE_Cologne_0002,231698,1,1370.9940828402366,169,0.0
DE_Cologne_0003,231698,2832,1370.9940828402366,169,25.810162429378533
DE_Cologne_0004,231698,2501,1370.9940828402366,169,26.1040343862455
DE_Cologne_0005,231698,3788,1370.9940828402366,169,26.220533262935586
DE_Cologne_0007,231698,553,1370.9940828402366,169,24.528625678119347
DE_Cologne_0008,231698,2,1370.9940828402366,169,48.6
DE_Cologne_0010,231698,307,1370.9940828402366,169,26.632899022801304
DE_Cologne_0011,231698,454,1370.9940828402366,169,31.502863436123345
DE_Cologne_0012,231698,2487,1370.9940828402366,169,29.251342983514274
DE_Cologne_0013,231698,39,1370.9940828402366,169,33.81538461538462
DE_Dortmund_0001,231698,1220,1370.9940828402366,169,27.5382131147541
DE_Dortmund_0002,231698,396,1370.9940828402366,169,26.46977272727273
DE_Dortmund_0004,231698,306,1370.9940828402366,169,28.44232026143791
DE_Dresden_0001,231698,3549,1370.9940828402366,169,27.278684136376445
DE_Duesseldorf_0001,231698,1951,1370.9940828402366,169,28.373905689390057
DE_Duesseldorf_0002,231698,1602,1370.9940828402366,169,28.358720349563043
DE_Duesseldorf_0004,231698,789,1370.9940828402366,169,26.153041825095055
DE_Duesseldorf_0006,231698,1345,1370.9940828402366,169,26.290802973977694
DE_Duesseldorf_0007,231698,1527,1370.9940828402366,169,27.302331368696787
