Rang,Name,1970,1980,1990,2000,2010,2020,2022,Bundesland
161.,Görlitz,87.492,81.399,72.237,61.599,55.596,55.784,56.574,Sachsen

162.,Lingen (Ems),31.522,44.097,49.137,51.684,51.177,55.232,56.542,Niedersachsen

163.,Stolberg (Rheinland),39.704,57.550,57.231,58.682,57.474,56.377,56.455,Nordrhein-Westfalen

164.,Sankt Augustin,31.892,48.580,51.886,55.248,55.442,55.590,56.369,Nordrhein-Westfalen

165.,Waiblingen,24.195,45.114,48.387,51.362,52.900,55.526,56.081,Baden-Württemberg

166.,Eschweiler,38.666,53.478,54.675,55.090,55.505,56.172,56.049,Nordrhein-Westfalen

167.,Hilden,50.228,53.343,54.782,56.412,55.441,55.274,55.815,Nordrhein-Westfalen

168.,Pulheim,11.323,44.870,49.353,53.158,53.769,54.636,55.530,Nordrhein-Westfalen

169.,Langenhagen,35.474,46.764,47.432,49.432,52.583,54.684,55.367,Niedersachsen

170.,Nordhorn,44.470,48.492,49.359,51.968,53.052,53.839,55.242,Niedersachsen

171.,Bad Homburg vor der Höhe,42.066,51.221,51.820,52.838,52.229,54.092,54.996,Hessen

172.,Bad Salzuflen,49.571,51.248,53.771,55.028,53.893,54.166,54.808,Nordrhein-Westfalen

173.,Schweinfurt,58.178,52.445,54.483,54.325,53.415,53.319,54.675,Bayern

174.,Hattingen,59.392,57.373,58.241,58.329,55.510,54.278,54.637,Nordrhein-Westfalen

175.,Wetzlar,36.922,51.997,51.737,52.608,51.499,53.188,54.187,Hessen

176.,Neustadt an der Weinstraße,50.952,50.328,51.988,53.658,52.855,53.306,53.981,Rheinland-Pfalz

177.,Passau,30.758,50.698,50.328,50.536,50.594,52.415,53.907,Bayern

178.,Kleve,43.640,44.026,45.963,48.662,49.477,52.359,53.388,Nordrhein-Westfalen

179.,Ahlen,49.970,54.192,54.169,55.631,53.414,52.635,53.348,Nordrhein-Westfalen

180.,Frechen,31.337,43.483,44.360,47.019,49.939,51.947,52.811,Nordrhein-Westfalen

181.,Wolfenbüttel,40.527,50.256,52.032,54.690,53.427,52.121,52.681,Niedersachsen

182.,Bad Kreuznach,42.258,41.143,40.950,43.164,43.703,51.310,52.529,Rheinland-Pfalz

183.,Menden (Sauerland),30.109,53.337,56.527,59.239,55.496,52.452,52.485,Nordrhein-Westfalen

184.,Ibbenbüren,17.561,42.323,44.643,48.843,51.522,51.526,52.421,Nordrhein-Westfalen

185.,Gummersbach,44.880,48.660,50.965,53.311,51.309,50.978,52.001,Nordrhein-Westfalen

186.,Ravensburg,32.045,42.269,45.650,47.525,49.774,50.776,51.482,Baden-Württemberg

187.,Böblingen,36.127,41.505,44.903,45.838,46.488,50.121,51.460,Baden-Württemberg

188.,Peine,31.205,47.591,46.654,49.494,48.743,50.249,51.411,Niedersachsen

189.,Speyer,42.184,43.864,46.553,49.776,49.857,50.741,51.368,Rheinland-Pfalz

190.,Rastatt,29.915,37.297,42.241,46.437,47.554,50.165,51.310,Baden-Württemberg

191.,Elmshorn,41.262,41.439,43.689,47.391,48.924,49.948,50.772,Schleswig-Holstein

192.,Emden,48.595,51.186,50.735,50.963,51.616,49.874,50.535,Niedersachsen

193.,Goslar,40.051,52.556,46.251,44.278,40.989,50.184,50.203,Niedersachsen

194.,Willich,37.747,39.115,42.416,50.300,51.949,50.283,50.144,Nordrhein-Westfalen

195.,Heidenheim an der Brenz,49.853,48.585,50.532,51.301,48.164,49.342,50.025,Baden-Württemberg

196.,Erftstadt,36.578,43.208,45.403,50.689,50.553,50.060,49.882,Nordrhein-Westfalen

197.,Lörrach,33.995,41.355,42.500,45.412,48.380,49.295,49.876,Baden-Württemberg

198.,Gronau (Westf.),26.482,41.209,40.687,44.860,46.553,48.576,49.824,Nordrhein-Westfalen

199.,Leonberg,25.049,38.927,42.654,44.037,45.098,48.753,49.512,Baden-Württemberg

200.,Rheda-Wiedenbrück,36.943,37.944,38.327,44.932,47.316,48.672,49.486,Nordrhein-Westfalen

201.,Bad Oeynhausen,13.948,44.339,46.475,50.007,48.300,48.535,49.477,Nordrhein-Westfalen

202.,Singen (Hohentwiel),41.427,43.529,43.689,44.478,45.826,48.033,49.441,Baden-Württemberg

203.,Freising,29.569,34.577,37.046,40.890,45.223,48.872,49.339,Bayern

204.,Bergkamen,44.304,47.977,49.761,52.905,50.587,48.919,49.263,Nordrhein-Westfalen

205.,Straubing,37.826,42.674,41.715,44.014,44.450,47.612,49.164,Bayern

206.,Lahr/Schwarzwald,25.030,35.465,34.719,42.411,43.827,47.551,49.074,Baden-Württemberg

